sample-id	diet	Depth
B1	Brewery waste 	53003
B2	Brewery waste 	53170
B3	Brewery waste 	66502
B4	Brewery waste 	70686
B5	Brewery waste 	64957
B6	Brewery waste 	59320
B7	Brewery waste 	57052
B8	Brewery waste 	49440
B9	Brewery waste 	63736
B10	Brewery waste 	67496
K21	Kitchen waste 	38103
K22	Kitchen waste 	73945
K23	Kitchen waste 	81926
K24	Kitchen waste 	56746
K25	Kitchen waste 	73041
K26	Kitchen waste 	72038
K27	Kitchen waste 	45339
K28	Kitchen waste 	47153
K29	Kitchen waste 	42177
K30	Kitchen waste 	97217
P41	Poultry waste 	73619
P42	Poultry waste 	81278
P43	Poultry waste 	61096
P44	Poultry waste 	64225
P45	Poultry waste  	50247
P46	Poultry waste 	49246
P47	Poultry waste 	60098
P48	Poultry waste 	61099
P50	Poultry waste 	66717
R61	Rabbit waste 	86847
R62	Rabbit waste 	85257
R63	Rabbit waste 	59957
R64	Rabbit waste 	47700
R65	Rabbit waste 	35159
R66	Rabbit waste 	55276
R67	Rabbit waste 	51967
R68	Rabbit waste 	62613
R69	Rabbit waste 	67853
R70	Rabbit waste 	69845
